symbol,timeframe,regime,strategy_name,param_hash,quality_score,rank,val_trades,val_pf,val_return,val_dd,val_sharpe,val_win_rate,train_trades,train_pf,train_return,is_tuned
ETHUSD,M30,BREAKOUT,DonchianBreakoutStrategy,f61dc8e73a9c39ef,66.11960693061529,1,14,3.755,15.49,1.96,10.128,71.43,15,3.088,53.33,False
ETHUSD,M30,CHOP,KeltnerBreakoutStrategy,76c9cba22489d926,53.96308647026802,1,54,1.48,6.25,2.74,2.918,70.37,166,1.265,14.03,True
ETHUSD,H1,TREND,EMAPullbackContinuationStrategy,e8d603c63fe9f833,60.52192734292517,2,472,1.581,132.03,8.16,3.348,70.34,1246,1.798,2053.22,True
ETHUSD,H1,RANGE,EMAPullbackContinuationStrategy,6747cb3f23da5d33,48.33684013911379,4,126,1.579,33.59,8.5,3.33,70.63,240,1.715,254.49,True
ETHUSD,H1,CHOP,EMARibbonADXStrategy,440cbbe9f4e6e31a,74.88884468713766,1,15,4.928,6.56,0.86,12.994,86.67,58,1.465,9.01,True
ETHUSD,H4,TREND,MomentumBurstStrategy,6789f481171b4dd4,60.80728352332173,1,65,2.283,65.02,6.53,6.098,67.69,144,1.627,93.87,True
ETHUSD,H4,RANGE,DonchianBreakoutStrategy,2bfeb427b0ab135c,67.84285992132116,1,28,2.723,18.64,2.0,7.504,71.43,71,1.888,28.67,True
ETHUSD,H4,BREAKOUT,DonchianBreakoutStrategy,2bfeb427b0ab135c,53.42989991882367,1,7,10.0,12.29,0.0,51.876,100.0,4,10.0,6.71,True
ETHUSD,H4,CHOP,TRIXMomentumStrategy,b845361de912e3c0,68.30915949557377,1,15,3.58,15.12,2.07,10.209,80.0,48,1.99,26.1,True
ETHUSD,D1,TREND,MomentumBurstStrategy,4cf20dca0487cad1,93.877759896243,1,25,9.93,68.76,2.68,18.583,88.0,58,2.717,77.2,True
ETHUSD,D1,RANGE,FibonacciRetracementPullbackStrategy,e50fefd127bcbb62,42.469497695086375,1,5,10.0,11.02,0.0,47.098,100.0,6,5.449,6.51,True
ETHUSD,D1,CHOP,VolatilityBreakoutStrategy,48b820b22c3a3fb3,45.83282141181485,1,11,2.303,15.39,3.76,6.004,54.55,27,1.776,22.21,False
EU50,M5,TREND,ATRPercentileBreakoutStrategy,bd69c08369a268b9,60.92043109291979,1,22,2.035,10.0,1.98,5.544,59.09,31,1.046,0.88,False
EU50,M15,TREND,SupplyDemandImpulseRetestStrategy,532ddf6f3a557cb9,59.63908391801822,1,28,2.132,14.76,2.96,5.879,57.14,74,1.216,9.08,True
EU50,M30,CHOP,RSITrendFilteredMRStrategy,fda87640cf25d2f9,55.34743877193415,1,21,2.172,12.18,3.5,5.366,42.86,90,1.037,1.61,True
EU50,H1,TREND,ZScoreVWAPReversionStrategy,78c2196f52ce396b,52.74316278153675,1,43,1.548,12.13,3.47,3.388,51.16,138,1.03,2.41,True
EU50,H1,RANGE,FibonacciRetracementPullbackStrategy,157c413677980c25,60.463046407626166,3,19,2.404,11.77,2.02,6.731,57.89,36,1.984,15.19,True
EU50,H1,CHOP,FibonacciRetracementPullbackStrategy,52cca628b8d62f5f,47.52830709157342,2,26,1.44,6.4,4.32,2.801,50.0,60,1.151,4.17,False
EU50,H4,TREND,RSIDivergenceStrategy,1a6f0fcb19dc5c88,59.1860425577467,1,10,2.841,5.55,1.9,8.183,70.0,36,1.531,8.72,False
EU50,H4,RANGE,TurtleSoupReversalStrategy,28c4182279bdf275,70.29594074724281,1,21,2.972,5.63,0.94,8.337,85.71,47,1.179,2.29,True
EU50,H4,CHOP,FibonacciRetracementPullbackStrategy,52cca628b8d62f5f,67.73265329256547,1,15,4.035,12.48,1.85,11.369,73.33,37,1.702,12.25,False
EU50,D1,TREND,LiquiditySweepReversalStrategy,17867f43aa5aabc9,69.57520319622704,1,21,2.914,6.07,1.01,8.145,85.71,65,1.657,10.47,True
EU50,D1,RANGE,NarrowRangeBreakoutStrategy,38f68f4362c00c62,41.06065585599806,6,6,6.463,5.28,0.92,15.441,83.33,10,3.133,6.72,True
EU50,D1,CHOP,MomentumBurstStrategy,af4b52030ca5d869,63.330830706904294,1,34,2.185,6.52,2.11,5.541,85.29,98,1.344,8.67,True
EURAUD,M15,CHOP,MomentumBurstStrategy,73de346d70773990,22.734914544288632,4,8,3.439,11.79,3.27,8.151,50.0,49,1.21,8.75,True
EURAUD,M30,RANGE,VolumeSpikeMomentumStrategy,3ba0b8172848a0a5,49.42251577515967,1,42,1.327,5.26,2.32,2.131,45.24,87,1.092,5.09,True
EURAUD,H1,TREND,MarketStructureBOSPullbackStrategy,b72a2fcaf7197b5f,50.31306096210084,2,152,1.299,19.68,5.32,2.047,61.84,383,1.109,22.58,True
EURAUD,H1,RANGE,DonchianBreakoutStrategy,56d59d311ce1491d,61.112044853657764,1,43,1.942,16.06,2.79,5.188,58.14,110,1.028,1.93,True
EURAUD,H1,CHOP,ZScoreVWAPReversionStrategy,14ac63be0266c83d,58.105238255941124,2,17,2.418,10.33,2.82,6.782,58.82,30,1.329,5.97,True
EURAUD,H4,TREND,OBVDivergenceStrategy,929b9ca2754a4f62,72.42593472369009,1,18,3.888,8.91,1.18,11.203,83.33,52,1.378,7.58,True
EURAUD,H4,RANGE,KeltnerBreakoutStrategy,c2b5d16d10a6bc06,68.27442584663896,1,33,2.657,18.21,2.03,7.883,69.7,63,1.188,6.04,True
EURAUD,H4,CHOP,TRIXMomentumStrategy,d674c9796f2af835,68.16863256919129,1,26,2.734,16.08,1.78,8.019,65.38,82,1.412,19.47,False
EURAUD,D1,TREND,MomentumBurstStrategy,80fb4924443546a5,86.46176675368397,1,22,5.542,18.0,0.99,14.765,81.82,35,1.223,4.51,True
EURAUD,D1,CHOP,TurtleSoupReversalStrategy,d21abad12f6885d1,37.335801551388904,5,8,10.0,6.2,0.0,181.351,100.0,40,1.783,9.24,True
EURCAD,H1,CHOP,OBVDivergenceStrategy,f8b9c72448826e8b,66.41999139765953,1,48,2.292,11.1,2.13,6.22,83.33,110,1.182,5.53,True
EURCAD,H4,TREND,SqueezeBreakoutStrategy,1f4cba8a5fb23b28,60.01606686976462,1,15,2.486,8.42,2.12,6.849,60.0,46,1.307,6.77,False
EURCAD,H4,RANGE,ROCExhaustionReversalStrategy,7252dd46eaf6fddc,66.89223099589331,1,13,3.155,5.74,1.0,9.199,76.92,43,1.008,0.16,False
EURCAD,H4,CHOP,OBVDivergenceStrategy,7079990e3132898a,63.229426287894945,1,11,2.65,6.51,0.99,7.502,63.64,35,1.537,8.19,True
EURCAD,D1,TREND,ROCExhaustionReversalStrategy,90be15dcb0efe388,84.87610820516022,1,11,10.0,5.44,0.0,257.261,100.0,42,1.335,3.58,True
EURCAD,D1,CHOP,ROCExhaustionReversalStrategy,7252dd46eaf6fddc,68.03805563566817,3,11,4.162,6.55,1.03,11.543,81.82,19,1.612,4.19,False
EURCHF,H1,RANGE,MomentumBurstStrategy,b40e62dbbf07f98a,68.04654550909439,1,15,4.526,13.65,2.13,12.272,73.33,44,1.245,4.53,True
EURCHF,H4,TREND,EMACrossoverStrategy,9cbcb9bc24e86772,54.73938503549073,3,33,1.711,9.43,3.56,4.243,60.61,66,1.188,6.18,True
EURCHF,H4,CHOP,StochRSITrendGateStrategy,ca4c3eddc35265cf,60.258503164473886,5,21,1.875,6.02,1.99,4.943,66.67,53,1.071,1.72,False
EURCHF,D1,TREND,StochasticReversalStrategy,091eaf419e5f3a03,65.76640695026717,1,10,3.276,6.34,0.97,9.327,70.0,42,1.437,8.27,True
EURGBP,H1,RANGE,SupplyDemandImpulseRetestStrategy,8062655c7b657378,49.60794513028249,2,25,2.078,15.99,6.21,4.942,40.0,54,1.355,10.99,True
EURGBP,H4,TREND,ZScoreMRStrategy,c83f15202fa788e2,62.45539013544505,1,17,3.459,15.61,2.82,9.681,64.71,49,1.874,22.18,True
EURGBP,H4,RANGE,IchimokuStrategy,9538bfc4d2b4eea1,37.54609912502226,8,6,7.151,6.27,0.95,16.382,83.33,8,2.306,3.5,False
EURGBP,H4,CHOP,NarrowRangeBreakoutStrategy,b3db5c2db91bc0c1,63.560715350890256,1,37,2.023,7.32,2.06,5.251,81.08,133,1.1,3.9,True
EURGBP,D1,TREND,ZScoreMRStrategy,ab7cf109dfacb1be,57.82032240500874,3,10,2.924,6.02,2.0,8.415,70.0,30,1.956,11.75,True
EURGBP,D1,RANGE,BollingerBounceStrategy,60dd764a1c72c10a,17.158584580517996,16,9,3.338,5.11,2.14,9.572,77.78,10,1.027,0.13,True
EURJPY,M5,CHOP,MomentumBurstStrategy,51032ed695f48d52,60.00683240772279,1,34,1.863,12.7,2.57,4.883,58.82,109,1.157,9.04,True
EURJPY,M30,TREND,VolumeSpikeMomentumStrategy,f5bea2e6ba2c8d65,50.410513857736426,1,30,1.911,17.98,5.54,4.643,43.33,105,1.362,24.15,True
EURJPY,M30,RANGE,DonchianBreakoutStrategy,9f9f9b3c6a6a79ac,43.27810574951932,1,71,1.179,6.46,4.58,1.282,47.89,213,1.108,23.72,True
EURJPY,M30,CHOP,EMAPullbackContinuationStrategy,d876abed298cd431,45.054711603292915,1,480,1.272,50.0,10.01,1.738,73.12,1180,1.278,320.92,True
EURJPY,H1,TREND,EMAPullbackContinuationStrategy,04e1d0dd730488a3,56.89984342831064,1,861,1.308,114.61,8.25,1.934,73.52,2160,1.345,753.14,True
EURJPY,H1,RANGE,EMAPullbackContinuationStrategy,cc156b386ddfa7c6,52.212235768091396,1,136,1.425,25.12,6.0,2.53,75.0,345,1.282,62.6,True
EURJPY,H1,CHOP,EMAPullbackContinuationStrategy,921d9ce1badf3670,50.27117776498313,2,32,1.675,11.9,4.61,3.866,46.88,146,1.444,44.76,True
EURJPY,H4,TREND,MarketStructureBOSPullbackStrategy,bbd64a279ca90468,61.79467169624191,1,38,2.408,13.73,3.34,7.018,76.32,111,1.3,11.42,True
EURJPY,H4,RANGE,ParabolicSARTrendStrategy,46bea52733bebd23,60.09696174093471,1,12,2.014,5.28,1.08,5.329,58.33,29,1.281,4.47,True
EURJPY,H4,CHOP,SqueezeBreakoutStrategy,1f4cba8a5fb23b28,62.635949044240355,3,15,3.581,10.8,2.83,10.146,73.33,54,1.236,6.67,False
EURJPY,D1,CHOP,EMAPullbackContinuationStrategy,de17d528fdfdb1b7,76.42833497070787,1,23,5.544,5.01,0.84,13.278,91.3,76,1.691,8.32,True
EURUSD,M30,TREND,FractalSRZoneBreakRetestStrategy,57a02bd0c16bcba5,57.04351823881926,1,28,1.738,5.44,2.84,4.174,75.0,96,1.233,7.49,True
EURUSD,M30,RANGE,RSITrendFilteredMRStrategy,45ff7afabd7e3a86,58.15916769351326,1,16,1.991,7.65,1.92,5.087,50.0,43,1.345,6.47,True
EURUSD,M30,CHOP,RSITrendFilteredMRStrategy,45ff7afabd7e3a86,50.9122046985152,1,33,1.652,11.47,4.05,3.74,45.45,104,1.087,4.49,True
EURUSD,H1,TREND,EMAPullbackContinuationStrategy,d55f014ee6cc6a36,41.701490952653224,2,331,1.171,28.24,8.64,1.244,54.98,913,1.142,193.83,True
EURUSD,H1,RANGE,RSITrendFilteredMRStrategy,41307e105b64b852,61.76214384879356,1,13,2.905,13.19,2.07,7.653,53.85,47,1.359,11.06,True
EURUSD,H1,CHOP,EMAPullbackContinuationStrategy,c644c1e1643a899e,51.1272249862996,2,129,1.364,26.46,5.1,2.4,51.16,376,1.341,198.2,True
EURUSD,H4,TREND,EMACrossoverStrategy,4b01140e93bb7ba2,56.50800878408148,4,30,1.799,7.33,3.44,4.607,70.0,97,1.172,6.95,True
EURUSD,H4,RANGE,RSIExtremesStrategy,c5aca6efc4b12e59,59.944998122549976,4,11,3.101,12.4,1.93,7.367,45.45,30,1.164,3.79,True
